datapoint_index,id
0,T10R10B1
1,T10R10B2
2,T10R10B3
3,T10R10B4
4,T10R11B1
5,T10R11B2
6,T10R11B3
7,T10R11B4
8,T10R12B1
9,T10R12B2
10,T10R12B3
11,T10R12B4
12,T10R13B1
13,T10R13B2
14,T10R13B3
15,T10R13B4
16,T10R14B1
17,T10R14B2
18,T10R14B3
19,T10R14B4
20,T10R1B1
21,T10R1B2
22,T10R1B3
23,T10R1B4
24,T10R2B1
25,T10R2B2
26,T10R2B3
27,T10R2B4
28,T10R3B1
29,T10R3B2
30,T10R3B3
31,T10R3B4
32,T10R4B1
33,T10R4B2
34,T10R4B3
35,T10R4B4
36,T10R5B1
37,T10R5B2
38,T10R5B3
39,T10R5B4
40,T10R6B1
41,T10R6B2
42,T10R6B3
43,T10R6B4
44,T10R7B1
45,T10R7B2
46,T10R7B3
47,T10R7B4
48,T10R8B1
49,T10R8B2
50,T10R8B3
51,T10R8B4
52,T10R9B1
53,T10R9B2
54,T10R9B3
55,T10R9B4
56,T1R10B1
57,T1R10B2
58,T1R10B3
59,T1R10B4
60,T1R11B1
61,T1R11B2
62,T1R11B3
63,T1R11B4
64,T1R2B1
65,T1R2B2
66,T1R2B3
67,T1R2B4
68,T1R3B1
69,T1R3B2
70,T1R3B3
71,T1R3B4
72,T1R4B1
73,T1R4B2
74,T1R4B3
75,T1R4B4
76,T1R5B1
77,T1R5B2
78,T1R5B3
79,T1R5B4
80,T1R6B1
81,T1R6B2
82,T1R6B3
83,T1R6B4
84,T1R7B1
85,T1R7B2
86,T1R7B3
87,T1R7B4
88,T1R8B1
89,T1R8B2
90,T1R8B3
91,T1R8B4
92,T1R9B1
93,T1R9B2
94,T1R9B3
95,T1R9B4
96,T2R11B1
97,T2R11B2
98,T2R11B3
99,T2R11B4
100,T2R12B1
101,T2R12B2
102,T2R12B3
103,T2R12B4
104,T2R13B1
105,T2R13B2
106,T2R13B3
107,T2R13B4
108,T2R14B1
109,T2R14B2
110,T2R14B3
111,T2R14B4
112,T2R15B1
113,T2R15B2
114,T2R15B3
115,T2R15B4
116,T2R1B1
117,T2R1B2
118,T2R1B3
119,T2R1B4
120,T2R2B1
121,T2R2B2
122,T2R2B3
123,T2R2B4
124,T2R3B1
125,T2R3B2
126,T2R3B3
127,T2R3B4
128,T2R4B1
129,T2R4B2
130,T2R4B3
131,T2R4B4
132,T2R5B1
133,T2R5B2
134,T2R5B3
135,T2R5B4
136,T2R6B1
137,T2R6B2
138,T2R6B3
139,T2R6B4
140,T2R7B1
141,T2R7B2
142,T2R7B3
143,T2R7B4
144,T2R8B1
145,T2R8B2
146,T2R8B3
147,T2R8B4
148,T2R9B1
149,T2R9B2
150,T2R9B3
151,T2R9B4
152,T3R10B1
153,T3R10B2
154,T3R10B3
155,T3R10B4
156,T3R11B1
157,T3R11B2
158,T3R11B3
159,T3R11B4
160,T3R12B1
161,T3R12B2
162,T3R12B3
163,T3R12B4
164,T3R13B1
165,T3R13B2
166,T3R13B3
167,T3R13B4
168,T3R1B1
169,T3R1B2
170,T3R1B3
171,T3R1B4
172,T3R2B1
173,T3R2B2
174,T3R2B3
175,T3R2B4
176,T3R3B1
177,T3R3B2
178,T3R3B3
179,T3R3B4
180,T3R4B1
181,T3R4B2
182,T3R4B3
183,T3R4B4
184,T3R5B1
185,T3R5B2
186,T3R5B3
187,T3R5B4
188,T3R6B1
189,T3R6B2
190,T3R6B3
191,T3R6B4
192,T3R7B1
193,T3R7B2
194,T3R7B3
195,T3R7B4
196,T3R8B1
197,T3R8B2
198,T3R8B3
199,T3R8B4
200,T3R9B1
201,T3R9B2
202,T3R9B3
